Año,Trimestre,AccesosC100Hab,AccesosC100Hom,Ingresos,MediaBajada,ADSL,Cablemodem,FibraOptica,Wireless,Otros,TotalIngresosInternet,BanchaAnchaFija,DialUp,TotalAccesosBanda
2022,1,23.05,73.88,56195811,55.11,1.533.240,6.073.426,2.219.533,545.814,251.996,10624009,10.611.390,12.619,10624009
2022,2,23.72,75.97,60942843,58.44,1.468.333,5.979.214,2.723.285,556.243,231.609,10958684,10.946.248,12.436,10958684
2021,1,21.13,67.95,36676371,43.11,2.175.211,5.424.782,1.362.976,434.548,250.455,9647972,9.637.956,10.016,9647972
2021,2,21.55,69.24,38239667,45.63,2.018.587,5.641.731,1.472.246,476.968,253.552,9863084,9.852.702,10.382,9863084
2021,3,21.98,70.58,42999944,48.46,1.950.631,5.826.257,1.566.048,492.415,250.19,10085541,10.075.184,10.357,10085541
2021,4,22.81,73.18,45467887,52.34,1.657.615,5.984.240,2.072.236,523.107,252.596,10489794,10.476.933,12.861,10489794
2020,1,19.48,62.86,29946216,37.52,2.299.457,4.903.674,1.047.817,352.333,209.145,8812426,8.802.435,9.991,8812426
2020,2,19.92,64.21,32102476,38.32,2.295.533,5.005.115,1.106.725,376.667,247.016,9031056,9.021.040,10.016,9031056
2020,3,20.59,66.31,31997445,40.67,2.263.889,5.259.351,1.170.879,413.259,248.821,9356199,9.346.183,10.016,9356199
2020,4,21.01,67.62,33539703,42.36,2.213.949,5.371.824,1.311.199,421.554,253.036,9571562,9.561.546,10.016,9571562
2019,1,19.31,62.48,20207414,17.38,3.132.789,4.435.439,637.099,276.419,166.389,8648135,8.626.323,21.812,8648135
2019,2,19.96,64.53,20743118,20.33,2.990.457,4.635.575,760.794,308.027,265.328,8960181,8.938.427,21.754,8960181
2019,3,20.36,65.79,21652748,24.18,2.909.805,4.800.091,852.221,338.241,264.326,9164684,9.142.891,21.793,9164684
2019,4,19.49,62.92,24169251,28.26,2.414.575,4.883.869,941.295,340.144,213.298,8793181,8.783.053,10.128,8793181
2018,1,18.12,58.82,13171459,13.22,3.574.294,3.981.129,217.460,165.3,98.87,8037053,8.009.981,27.072,8037053
2018,2,18.24,59.16,14319467,13.85,3.557.216,4.038.141,226.285,194.267,94.535,8110444,8.083.533,26.911,8110444
2018,3,18.73,60.69,15410981,15.36,3.521.447,4.238.171,247.366,246.181,93.87,8347035,8.320.223,26.812,8347035
2018,4,18.97,61.42,16637687,15.95,3.329.027,4.313.831,388.013,264.299,178.485,8473655,8.451.841,21.814,8473655
2017,1,16.64,54.16,8701201,6.62,3.708.898,3.276.251,180.146,84.813,55.746,7305854,7.277.314,28.54,7305854
2017,2,16.88,54.9,9678647,7.16,3.723.518,3.383.434,180.777,85.813,56.122,7429664,7.401.134,28.53,7429664
2017,3,17.51,56.9,10065998,8.34,3.622.575,3.670.221,193.964,106.443,131.74,7724943,7.696.594,28.349,7724943
2017,4,17.79,57.78,11226127,12.01,3.584.311,3.818.157,211.425,155.775,100.554,7870222,7.842.778,27.444,7870222
2016,1,15.9,51.85,5936845,5.08,3.792.493,2.806.359,164.371,85.37,58.763,6907356,6.874.704,32.652,6907356
2016,2,16.37,53.34,6534241,5.42,3.782.085,3.035.272,167.788,85.452,59.482,7130079,7.097.604,32.475,7130079
2016,3,16.5,53.73,6912442,5.94,3.776.442,3.124.855,169.898,81.455,54.3,7206950,7.178.340,28.61,7206950
2016,4,16.56,53.94,7483980,6.34,3.722.794,3.210.602,178.070,85.119,55.088,7251673,7.223.128,28.545,7251673
2015,1,15.68,51.36,4876385,4.35,3.756.153,2.668.248,168.188,79.098,66.045,6737732,6.699.714,38.018,6737732
2015,2,15.82,51.76,4701791,4.55,3.767.821,2.756.294,150.839,82.077,59.157,6816188,6.783.279,32.909,6816188
2015,3,16.05,52.46,5153739,4.79,3.788.696,2.840.203,162.663,84.53,58.976,6935068,6.902.267,32.801,6935068
2015,4,16.12,52.63,5376899,4.99,3.803.024,2.898.226,139.187,85.726,58.668,6984831,6.952.289,32.542,6984831
2014,1,15.05,49.55,2984054,3.62,3.697.066,2.407.330,150.323,70.749,72.93,6398398,6.362.108,36.29,6398398
2014,2,15.16,49.86,3270816,3.76,3.708.882,2.461.670,149.363,72.405,72.148,6464468,6.428.329,36.139,6464468
2014,3,15.43,50.67,3478638,3.87,3.714.764,2.569.868,155.494,85.096,70.049,6595271,6.559.264,36.007,6595271
2014,4,15.39,50.5,3950441,4.16,3.764.038,2.536.219,149.682,76.984,71.573,6598496,6.559.172,39.324,6598496
