Año,Trimestre,Provincia,Accesos por cada 100 hogares
1970-01-01 00:00:00.000002022,2,Buenos Aires,"77,58"
1970-01-01 00:00:00.000002022,2,Capital Federal,"121,31"
1970-01-01 00:00:00.000002022,2,Catamarca,"62,4"
1970-01-01 00:00:00.000002022,2,Chaco,"43,79"
1970-01-01 00:00:00.000002022,2,Chubut,"83,19"
1970-01-01 00:00:00.000002022,2,Córdoba,"87,48"
1970-01-01 00:00:00.000002022,2,Corrientes,"48,35"
1970-01-01 00:00:00.000002022,2,Entre Ríos,"63,9"
1970-01-01 00:00:00.000002022,2,Formosa,"43,42"
1970-01-01 00:00:00.000002022,2,Jujuy,"57,32"
1970-01-01 00:00:00.000002022,2,La Pampa,"92,98"
1970-01-01 00:00:00.000002022,2,La Rioja,"80,14"
1970-01-01 00:00:00.000002022,2,Mendoza,"49,39"
1970-01-01 00:00:00.000002022,2,Misiones,51
1970-01-01 00:00:00.000002022,2,Neuquén,"80,02"
1970-01-01 00:00:00.000002022,2,Río Negro,"67,85"
1970-01-01 00:00:00.000002022,2,Salta,"57,54"
1970-01-01 00:00:00.000002022,2,San Juan,"49,46"
1970-01-01 00:00:00.000002022,2,San Luis,"81,76"
1970-01-01 00:00:00.000002022,2,Santa Cruz,"43,15"
1970-01-01 00:00:00.000002022,2,Santa Fe,"77,9"
1970-01-01 00:00:00.000002022,2,Santiago Del Estero,"47,7"
1970-01-01 00:00:00.000002022,2,Tierra Del Fuego,"99,86"
1970-01-01 00:00:00.000002022,2,Tucumán,"59,31"
1970-01-01 00:00:00.000002022,1,Buenos Aires,"76,08"
1970-01-01 00:00:00.000002022,1,Capital Federal,"111,8"
1970-01-01 00:00:00.000002022,1,Catamarca,"58,21"
1970-01-01 00:00:00.000002022,1,Chaco,"44,06"
1970-01-01 00:00:00.000002022,1,Chubut,"88,05"
1970-01-01 00:00:00.000002022,1,Córdoba,"85,76"
1970-01-01 00:00:00.000002022,1,Corrientes,"47,64"
1970-01-01 00:00:00.000002022,1,Entre Ríos,"63,7"
1970-01-01 00:00:00.000002022,1,Formosa,"34,96"
1970-01-01 00:00:00.000002022,1,Jujuy,"58,06"
1970-01-01 00:00:00.000002022,1,La Pampa,"91,66"
1970-01-01 00:00:00.000002022,1,La Rioja,"78,77"
1970-01-01 00:00:00.000002022,1,Mendoza,"48,74"
1970-01-01 00:00:00.000002022,1,Misiones,"49,04"
1970-01-01 00:00:00.000002022,1,Neuquén,"74,17"
1970-01-01 00:00:00.000002022,1,Río Negro,"67,04"
1970-01-01 00:00:00.000002022,1,Salta,"56,11"
1970-01-01 00:00:00.000002022,1,San Juan,"43,55"
1970-01-01 00:00:00.000002022,1,San Luis,"80,72"
1970-01-01 00:00:00.000002022,1,Santa Cruz,"43,34"
1970-01-01 00:00:00.000002022,1,Santa Fe,"77,3"
1970-01-01 00:00:00.000002022,1,Santiago Del Estero,"47,17"
1970-01-01 00:00:00.000002022,1,Tierra Del Fuego,"98,29"
1970-01-01 00:00:00.000002022,1,Tucumán,"57,39"
1970-01-01 00:00:00.000002021,4,Buenos Aires,"75,66"
1970-01-01 00:00:00.000002021,4,Capital Federal,"111,27"
1970-01-01 00:00:00.000002021,4,Catamarca,"55,25"
1970-01-01 00:00:00.000002021,4,Chaco,"44,05"
