Año,Trimestre,"Accesos por cada 100 hogares","Accesos por cada 100 hab",Año,Trimestre,"Ingresos (miles de pesos)",Año,Trimestre,"Mbps (Media de bajada)",Año,Trimestre,ADSL,Cablemodem,"Fibra óptica",Wireless,Otros,Total,Año,Trimestre,"Banda ancha fija","Dial up",Total
2022,2,"75,97","23,72",2022,2,60.942.843,2022,2,"58,44",2022,2,1.468.333,5.979.214,2.723.285,556.243,231.609,10.958.684,2022,2,10.946.248,12.436,10.958.684
2022,1,"73,88","23,05",2022,1,56.195.811,2022,1,"55,11",2022,1,1.533.240,6.073.426,2.219.533,545.814,251.996,10.624.009,2022,1,10.611.390,12.619,10.624.009
2021,4,"73,18","22,81",2021,4,45.467.887,2021,4,"52,34",2021,4,1.657.615,5.984.240,2.072.236,523.107,252.596,10.489.794,2021,4,10.476.933,12.861,10.489.794
2021,3,"70,58","21,98",2021,3,42.999.944,2021,3,"48,46",2021,3,1.950.631,5.826.257,1.566.048,492.415,250.19,10.085.541,2021,3,10.075.184,10.357,10.085.541
2021,2,"69,24","21,55",2021,2,38.239.667,2021,2,"45,63",2021,2,2.018.587,5.641.731,1.472.246,476.968,253.552,9.863.084,2021,2,9.852.702,10.382,9.863.084
2021,1,"67,95","21,13",2021,1,36.676.371,2021,1,"43,11",2021,1,2.175.211,5.424.782,1.362.976,434.548,250.455,9.647.972,2021,1,9.637.956,10.016,9.647.972
2020,4,"67,62","21,01",2020,4,33.539.703,2020,4,"42,36",2020,4,2.213.949,5.371.824,1.311.199,421.554,253.036,9.571.562,2020,4,9.561.546,10.016,9.571.562
2020,3,"66,31","20,59",2020,3,31.997.445,2020,3,"40,67",2020,3,2.263.889,5.259.351,1.170.879,413.259,248.821,9.356.199,2020,3,9.346.183,10.016,9.356.199
2020,2,"64,21","19,92",2020,2,32.102.476,2020,2,"38,32",2020,2,2.295.533,5.005.115,1.106.725,376.667,247.016,9.031.056,2020,2,9.021.040,10.016,9.031.056
2020,1,"62,86","19,48",2020,1,29.946.216,2020,1,"37,52",2020,1,2.299.457,4.903.674,1.047.817,352.333,209.145,8.812.426,2020,1,8.802.435,9.991,8.812.426
2019,4,"62,92","19,49",2019,4,24.169.251,2019,4,"28,26",2019,4,2.414.575,4.883.869,941.295,340.144,213.298,8.793.181,2019,4,8.783.053,10.128,8.793.181
2019,3,"65,79","20,36",2019,3,21.652.748,2019,3,"24,18",2019,3,2.909.805,4.800.091,852.221,338.241,264.326,9.164.684,2019,3,9.142.891,21.793,9.164.684
2019,2,"64,53","19,96",2019,2,20.743.118,2019,2,"20,33",2019,2,2.990.457,4.635.575,760.794,308.027,265.328,8.960.181,2019,2,8.938.427,21.754,8.960.181
2019,1,"62,48","19,31",2019,1,20.207.414,2019,1,"17,38",2019,1,3.132.789,4.435.439,637.099,276.419,166.389,8.648.135,2019,1,8.626.323,21.812,8.648.135
2018,4,"61,42","18,97",2018,4,16.637.687,2018,4,"15,95",2018,4,3.329.027,4.313.831,388.013,264.299,178.485,8.473.655,2018,4,8.451.841,21.814,8.473.655
2018,3,"60,69","18,73",2018,3,15.410.981,2018,3,"15,36",2018,3,3.521.447,4.238.171,247.366,246.181,93.87,8.347.035,2018,3,8.320.223,26.812,8.347.035
2018,2,"59,16","18,24",2018,2,14.319.467,2018,2,"13,85",2018,2,3.557.216,4.038.141,226.285,194.267,94.535,8.110.444,2018,2,8.083.533,26.911,8.110.444
2018,1,"58,82","18,12",2018,1,13.171.459,2018,1,"13,22",2018,1,3.574.294,3.981.129,217.460,165.3,98.87,8.037.053,2018,1,8.009.981,27.072,8.037.053
